filename,anumber,report_type,sentence_count,prop,length
a072214_c28_2005_2006a_vol1_15313969.json,72214,Annual,35,0.3142857142857143,11
a072214_c28_2005_2006a_vol2_15286868.json,72214,Annual,335,0.19701492537313436,66
a072215_march06_sundaymalcolmck_2005annual_16229593.json,72215,Annual,142,0.5422535211267602,77
a072218_c11-2003_a_lav_yam-06-02_13666481.json,72218,Annual,59,0.11864406779661017,7
a072219_lav_yam-06-01_14781047.json,72219,Annual,80,0.4125,33
a072222_nm2006a_16266797.json,72222,Annual,41,0.7804878048780488,32
a072224_p27_1583_2005a_11522232.json,72224,Annual,77,0.11688311688311688,9
a072225_p27_1581_2005a_15013220.json,72225,Annual,77,0.11688311688311688,9
a072226_p26_3149_2005a_14913089.json,72226,Annual,65,0.12307692307692308,8
a072232_e47_982_e08_1227_annualreport_14629518.json,72232,Annual,100,0.18,18
a072234_c160_1997 a03_18507715.json,72234,Annual,142,0.6478873239436616,92
a072238_c90_2004_2005a_14524548.json,72238,Annual,210,0.5523809523809523,116
a072239_lady mary annual report 2006_14765833.json,72239,Annual,94,0.7659574468085106,72
a072245_27606 beacon v_15298104.json,72245,Annual,29,0.44827586206896547,13
a072245_c154_2005_2006a_15298418.json,72245,Annual,209,0.43540669856459346,91
a072249_e36-387_doir_ar_2006_11935277.json,72249,Annual,108,0.43518518518518534,47
a072252_p15-4678_doir_ar_2006_16555626.json,72252,Annual,123,0.3739837398373984,46
a072253_jinda_2006_9838465.json,72253,Annual,499,0.3587174348697397,179
a072256_tr1396_c354_1997_2005a_14911824.json,72256,Annual,44,0.2727272727272727,12
a072260_combinedreport_16164827.json,72260,Annual,84,0.3809523809523808,32
a072261_mc_c366_1993_a2006_14786122.json,72261,Annual,172,0.7034883720930233,121
a072262_bhp383165_2006a_14910125.json,72262,Annual,29,0.689655172413793,20
a072264_p37_6563_2006a_15257630.json,72264,Annual,57,0.22807017543859648,13
a072265_p37_5229_2006a_16238318.json,72265,Annual,60,0.31666666666666665,19
a072266_p37_5298_2006a_16386210.json,72266,Annual,60,0.31666666666666665,19
a072267_p37_6316_2006a_16868453.json,72267,Annual,77,0.32467532467532473,25
a072268_p37_6561_2006a_17040405.json,72268,Annual,57,0.22807017543859648,13
a072269_p37_5228_2006a_17173903.json,72269,Annual,60,0.31666666666666665,19
a072270_p37_6562_2006a_17497505.json,72270,Annual,57,0.19298245614035087,11
